Scheduled Principal,Curtailments,Curtailment Adjustments,Prepayment,Repurchase Principal,Other Principal Adjustments,Liquidation Principal,Principal Losses
73.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.33,0.8,0.0,0.0,0.0,0.0,0.0,0.0
74.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.95,200.0,0.67,0.0,0.0,0.0,0.0,0.0
22.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.74,60.53,0.0,0.0,0.0,0.0,0.0,0.0
216.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.56,150.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.28,0.63,0.0,0.0,0.0,0.0,0.0,0.0
111.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.09,1102.28,0.0,0.0,0.0,0.0,0.0,0.0
79.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
43.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.06
141.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.49,1.31,0.01,0.0,0.0,0.0,0.0,0.0
56.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.45,40.89,0.0,0.0,0.0,0.0,0.0,0.0
76.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
